PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT,PTS_per_36,AST_per_36,REB_per_36,ALL_AROUND_SCORE,ARCHETYPE
Dean Wade,CLE,F-C,59,21.2,5.4,1.3,4.2,0.7,0.3,0.4,0.413,0.36,0.533,9.169811320754716,2.207547169811321,7.132075471698114,14.4,Role Player
Deandre Ayton,POR,C,40,30.1,14.4,1.6,10.2,0.8,1.0,1.7,0.566,0.188,0.667,17.222591362126245,1.9136212624584719,12.199335548172755,34.4,All-Around Player
Dejounte Murray,NOP,G,31,32.6,17.5,7.4,6.5,2.0,0.4,3.4,0.393,0.299,0.823,19.32515337423313,8.171779141104293,7.177914110429447,46.4,All-Around Player
Delon Wright,NYK,G,40,15.9,3.1,1.9,1.7,0.9,0.3,0.6,0.344,0.274,0.6,7.018867924528302,4.30188679245283,3.8490566037735845,11.6,Role Player
Deni Avdija,POR,F,72,30.0,16.9,3.9,7.3,1.0,0.5,2.7,0.476,0.365,0.78,20.279999999999998,4.68,8.76,34.4,All-Around Player
Dennis Schröder,DET,G,75,28.1,13.1,5.4,2.6,0.9,0.2,1.9,0.406,0.342,0.838,16.78291814946619,6.918149466192171,3.3309608540925266,25.1,Playmaker
Dereck Lively II,DAL,C,36,23.1,8.7,2.4,7.5,0.6,1.6,1.1,0.702,0.0,0.63,13.558441558441556,3.74025974025974,11.688311688311689,29.7,Rebounder / Interior Player
Derrick Jones Jr.,LAC,F,77,24.3,10.1,0.8,3.4,1.0,0.4,0.9,0.526,0.356,0.703,14.962962962962962,1.1851851851851853,5.037037037037037,18.0,Role Player
Derrick White,BOS,G,76,33.9,16.4,4.8,4.5,0.9,1.1,1.7,0.442,0.384,0.839,17.41592920353982,5.097345132743363,4.778761061946903,33.9,All-Around Player
Desmond Bane,ORL,G,69,32.0,19.2,5.3,6.1,1.2,0.4,2.4,0.484,0.392,0.894,21.599999999999998,5.9624999999999995,6.8625,37.5,All-Around Player
Devin Booker,PHX,G,75,37.3,25.6,7.1,4.1,0.9,0.2,2.9,0.461,0.332,0.894,24.70777479892762,6.8525469168900806,3.9571045576407506,38.5,Scorer
Devin Carter,SAC,G,36,11.0,3.8,1.1,2.1,0.6,0.1,0.5,0.37,0.295,0.591,12.436363636363637,3.6,6.872727272727273,8.1,Role Player
Devin Vassell,SAS,G-F,64,31.0,16.3,2.9,4.0,1.3,0.5,1.4,0.443,0.368,0.792,18.929032258064517,3.367741935483871,4.64516129032258,29.4,Two-Way Player
Dillon Brooks,HOU,G-F,75,31.8,14.0,1.7,3.7,0.8,0.2,1.0,0.429,0.397,0.818,15.849056603773585,1.9245283018867922,4.188679245283019,20.1,Role Player
Dillon Jones,OKC,F,54,10.2,2.5,1.1,2.2,0.3,0.1,0.5,0.383,0.254,0.607,8.823529411764707,3.8823529411764715,7.764705882352943,5.2,Role Player
Domantas Sabonis,SAC,F-C,70,34.7,19.1,6.0,13.9,0.7,0.4,2.9,0.59,0.417,0.754,19.81556195965418,6.224783861671469,14.420749279538905,47.0,All-Around Player
Dominick Barlow,ATL,F,35,10.7,4.2,0.5,2.4,0.3,0.5,0.1,0.531,0.259,0.636,14.13084112149533,1.6822429906542058,8.074766355140186,7.7,Role Player
Donovan Clingan,POR,C,67,19.8,6.5,1.1,7.9,0.5,1.6,1.1,0.539,0.286,0.596,11.818181818181818,2.0,14.363636363636363,25.9,Rebounder / Interior Player
Donovan Mitchell,CLE,G,71,31.4,24.0,5.0,4.5,1.3,0.2,2.1,0.443,0.368,0.823,27.515923566878982,5.7324840764331215,5.159235668789809,37.2,All-Around Player
Donte DiVincenzo,MIN,G,62,25.9,11.7,3.6,3.7,1.2,0.3,1.6,0.422,0.397,0.778,16.26254826254826,5.003861003861004,5.142857142857143,25.4,Playmaker
Dorian Finney-Smith,LAL,F,63,28.9,8.7,1.4,3.9,0.9,0.4,0.9,0.448,0.411,0.667,10.837370242214533,1.7439446366782008,4.858131487889274,18.3,Role Player
Draymond Green,GSW,F,68,29.2,9.0,5.6,6.1,1.5,1.0,2.6,0.424,0.325,0.687,11.095890410958905,6.904109589041095,7.52054794520548,36.7,All-Around Player
Drew Eubanks,LAC,F-C,61,12.2,4.6,0.9,3.7,0.2,0.6,0.7,0.593,0.5,0.662,13.573770491803277,2.655737704918033,10.918032786885249,10.5,Rebounder / Interior Player
Duncan Robinson,MIA,F,74,24.1,11.0,2.4,2.3,0.5,0.1,1.2,0.437,0.393,0.887,16.431535269709542,3.5850622406639,3.435684647302904,14.6,Role Player
Duop Reath,POR,C,46,10.2,4.2,0.6,2.0,0.3,0.3,0.3,0.422,0.321,0.909,14.823529411764707,2.1176470588235294,7.058823529411765,6.2,Role Player
Dwight Powell,DAL,F-C,55,10.0,2.1,1.0,2.1,0.3,0.4,0.3,0.689,0.4,0.651,7.5600000000000005,3.6,7.5600000000000005,6.2,Role Player
Dyson Daniels,ATL,G,76,33.8,14.1,4.4,5.9,3.0,0.7,2.0,0.493,0.34,0.593,15.017751479289942,4.6863905325443795,6.284023668639055,46.7,All-Around Player
Elfrid Payton,NOP,G,24,21.3,3.5,6.9,3.3,1.0,0.5,2.5,0.328,0.167,0.571,5.915492957746478,11.661971830985916,5.577464788732394,24.9,Playmaker
Eric Gordon,PHI,G,39,19.7,6.8,1.7,1.2,0.7,0.3,0.7,0.426,0.409,0.75,12.426395939086294,3.1065989847715736,2.1928934010152283,11.5,Role Player
Evan Mobley,CLE,C,71,30.5,18.5,3.2,9.3,0.9,1.6,2.0,0.557,0.37,0.725,21.83606557377049,3.777049180327869,10.977049180327871,42.3,All-Around Player
Franz Wagner,ORL,F,60,33.7,24.2,4.7,5.7,1.3,0.4,2.3,0.463,0.295,0.871,25.851632047477743,5.0207715133531154,6.089020771513352,39.7,All-Around Player
Fred VanVleet,HOU,G,60,35.2,14.1,5.6,3.7,1.6,0.4,1.5,0.378,0.345,0.81,14.420454545454543,5.727272727272727,3.7840909090909087,33.9,Playmaker
GG Jackson,MEM,F,29,15.8,7.2,1.0,3.2,0.4,0.2,1.1,0.372,0.337,0.725,16.40506329113924,2.2784810126582276,7.291139240506329,10.9,Role Player
Gabe Vincent,LAL,G,72,21.2,6.4,1.4,1.3,0.7,0.2,0.6,0.4,0.353,0.714,10.867924528301888,2.3773584905660377,2.207547169811321,10.3,Role Player
Garrison Mathews,ATL,G,47,17.6,7.5,1.3,1.9,0.6,0.3,0.7,0.397,0.39,0.821,15.34090909090909,2.6590909090909087,3.886363636363636,11.6,Role Player
Gary Harris,ORL,G,48,14.8,3.0,0.6,1.3,0.5,0.3,0.4,0.383,0.356,0.583,7.2972972972972965,1.4594594594594592,3.1621621621621623,5.8,Role Player
Gary Payton II,GSW,G,62,15.0,6.5,1.3,3.0,0.8,0.3,0.6,0.574,0.326,0.711,15.600000000000001,3.12,7.2,14.0,Role Player
Gary Trent Jr.,MIL,G,74,25.6,11.1,1.2,2.3,1.0,0.1,0.6,0.431,0.416,0.848,15.609374999999998,1.6874999999999998,3.2343749999999996,16.1,Role Player
Georges Niang,ATL,F,79,21.5,9.9,1.4,3.4,0.4,0.2,1.0,0.461,0.406,0.793,16.57674418604651,2.344186046511628,5.693023255813953,13.6,Role Player
Giannis Antetokounmpo,MIL,F,67,34.2,30.4,6.5,11.9,0.9,1.2,3.1,0.601,0.222,0.617,31.999999999999993,6.842105263157895,12.526315789473685,57.7,All-Around Player
Goga Bitadze,ORL,C-F,70,20.4,7.2,2.0,6.6,0.7,1.4,1.0,0.611,0.107,0.639,12.705882352941178,3.5294117647058827,11.647058823529413,26.3,Rebounder / Interior Player
Gradey Dick,TOR,G-F,54,29.4,14.4,1.8,3.6,0.9,0.2,1.5,0.41,0.35,0.858,17.63265306122449,2.2040816326530615,4.408163265306123,21.1,Scorer
Grayson Allen,PHX,G,64,24.1,10.6,2.1,3.0,0.8,0.3,1.2,0.448,0.426,0.816,15.834024896265557,3.136929460580913,4.481327800829875,18.1,Role Player
Guerschon Yabusele,PHI,F,70,27.1,11.0,2.1,5.6,0.8,0.3,1.2,0.501,0.38,0.725,14.612546125461254,2.789667896678967,7.43911439114391,22.3,Rebounder / Interior Player
Gui Santos,GSW,F,56,13.6,4.1,1.4,3.1,0.4,0.2,0.8,0.458,0.33,0.69,10.852941176470587,3.705882352941176,8.205882352941178,9.4,Role Player
Harrison Barnes,SAS,F,82,27.2,12.3,1.7,3.8,0.5,0.2,0.6,0.508,0.433,0.809,16.279411764705884,2.25,5.029411764705882,17.0,Role Player
Haywood Highsmith,MIA,F,74,24.6,6.5,1.5,3.4,0.9,0.5,0.7,0.458,0.382,0.721,9.512195121951219,2.1951219512195124,4.97560975609756,16.8,Role Player
Herbert Jones,NOP,F,20,32.4,10.3,3.3,3.9,1.9,0.5,1.8,0.436,0.306,0.825,11.444444444444445,3.6666666666666665,4.333333333333334,30.3,Role Player
Immanuel Quickley,TOR,G,33,27.8,17.1,5.8,3.5,0.7,0.1,1.8,0.42,0.378,0.867,22.143884892086334,7.510791366906474,4.532374100719425,27.9,Scorer
